control,tf,tipo,direccion,confirmation_time_utc,bar_index_local,nivel,zone_high,source_close,detector_object_id,occurrence_id
A,M5,FVG,1,2026-09-17T07:40:00+00:00,2395,1.14626,1.14639,,FVG_M5_2395_BULL,M5|FVG|2026-09-17T07:40:00+00:00|1
A,M5,FVG,1,2026-09-17T07:55:00+00:00,2398,1.14644,1.1465,,FVG_M5_2398_BULL,M5|FVG|2026-09-17T07:55:00+00:00|1
A,M5,FVG,-1,2026-09-17T08:15:00+00:00,2402,1.14657,1.14662,,FVG_M5_2402_BEAR,M5|FVG|2026-09-17T08:15:00+00:00|-1
A,M5,FVG,-1,2026-09-17T08:25:00+00:00,2404,1.14644,1.14645,,FVG_M5_2404_BEAR,M5|FVG|2026-09-17T08:25:00+00:00|-1
A,M5,FVG,1,2026-09-17T08:55:00+00:00,2410,1.14654,1.14657,,FVG_M5_2410_BULL,M5|FVG|2026-09-17T08:55:00+00:00|1
A,M5,FVG,1,2026-09-17T09:20:00+00:00,2415,1.14686,1.14692,,FVG_M5_2415_BULL,M5|FVG|2026-09-17T09:20:00+00:00|1
A,M5,FVG,1,2026-09-17T09:30:00+00:00,2417,1.14713,1.14734,,FVG_M5_2417_BULL,M5|FVG|2026-09-17T09:30:00+00:00|1
A,M5,FVG,1,2026-09-17T09:35:00+00:00,2418,1.1474,1.14747,,FVG_M5_2418_BULL,M5|FVG|2026-09-17T09:35:00+00:00|1
A,M5,FVG,1,2026-09-17T09:50:00+00:00,2421,1.14775,1.14784,,FVG_M5_2421_BULL,M5|FVG|2026-09-17T09:50:00+00:00|1
A,M5,FVG,1,2026-09-17T09:55:00+00:00,2422,1.14797,1.14805,,FVG_M5_2422_BULL,M5|FVG|2026-09-17T09:55:00+00:00|1
A,M5,FVG,-1,2026-09-17T11:00:00+00:00,2435,1.1474,1.14753,,FVG_M5_2435_BEAR,M5|FVG|2026-09-17T11:00:00+00:00|-1
A,M5,FVG,-1,2026-09-17T11:20:00+00:00,2439,1.147,1.14721,,FVG_M5_2439_BEAR,M5|FVG|2026-09-17T11:20:00+00:00|-1
A,M5,FVG,1,2026-09-17T11:40:00+00:00,2443,1.14702,1.14707,,FVG_M5_2443_BULL,M5|FVG|2026-09-17T11:40:00+00:00|1
A,M5,FVG,1,2026-09-17T12:15:00+00:00,2450,1.14756,1.14759,,FVG_M5_2450_BULL,M5|FVG|2026-09-17T12:15:00+00:00|1
A,M5,FVG,-1,2026-09-17T13:00:00+00:00,2459,1.14744,1.14748,,FVG_M5_2459_BEAR,M5|FVG|2026-09-17T13:00:00+00:00|-1
A,M5,FVG,1,2026-09-17T13:15:00+00:00,2462,1.14754,1.14769,,FVG_M5_2462_BULL,M5|FVG|2026-09-17T13:15:00+00:00|1
A,M5,FVG,-1,2026-09-17T14:25:00+00:00,2476,1.14734,1.1474,,FVG_M5_2476_BEAR,M5|FVG|2026-09-17T14:25:00+00:00|-1
A,M5,FVG,1,2026-09-17T15:05:00+00:00,2484,1.14704,1.14718,,FVG_M5_2484_BULL,M5|FVG|2026-09-17T15:05:00+00:00|1
A,M5,FVG,1,2026-09-17T15:10:00+00:00,2485,1.14749,1.14754,,FVG_M5_2485_BULL,M5|FVG|2026-09-17T15:10:00+00:00|1
A,M5,FVG,1,2026-09-17T15:15:00+00:00,2486,1.14758,1.14809,,FVG_M5_2486_BULL,M5|FVG|2026-09-17T15:15:00+00:00|1
A,M5,FVG,1,2026-09-17T15:25:00+00:00,2488,1.14845,1.14867,,FVG_M5_2488_BULL,M5|FVG|2026-09-17T15:25:00+00:00|1
A,M5,FVG,1,2026-09-17T15:35:00+00:00,2490,1.14901,1.14906,,FVG_M5_2490_BULL,M5|FVG|2026-09-17T15:35:00+00:00|1
A,M5,FVG,-1,2026-09-17T15:45:00+00:00,2492,1.14883,1.14906,,FVG_M5_2492_BEAR,M5|FVG|2026-09-17T15:45:00+00:00|-1
A,M5,FVG,1,2026-09-17T16:00:00+00:00,2495,1.14868,1.14879,,FVG_M5_2495_BULL,M5|FVG|2026-09-17T16:00:00+00:00|1
A,M5,FVG,1,2026-09-17T16:05:00+00:00,2496,1.14891,1.14903,,FVG_M5_2496_BULL,M5|FVG|2026-09-17T16:05:00+00:00|1
A,M5,FVG,-1,2026-09-17T16:15:00+00:00,2498,1.14879,1.14903,,FVG_M5_2498_BEAR,M5|FVG|2026-09-17T16:15:00+00:00|-1
A,M5,FVG,1,2026-09-17T17:10:00+00:00,2509,1.14906,1.14936,,FVG_M5_2509_BULL,M5|FVG|2026-09-17T17:10:00+00:00|1
A,M5,FVG,-1,2026-09-17T18:00:00+00:00,2519,1.14903,1.14911,,FVG_M5_2519_BEAR,M5|FVG|2026-09-17T18:00:00+00:00|-1
A,M5,FVG,-1,2026-09-17T18:05:00+00:00,2520,1.14869,1.14879,,FVG_M5_2520_BEAR,M5|FVG|2026-09-17T18:05:00+00:00|-1
